,index,lon,lat,DUR,SERV,OPT1,OPT2,OPT3
0,93884,-74.05306915936875,4.717233975432299,2700,3,36000,27000,59400
1,227326,-74.14950000021705,4.671505999899488,1800,2,41400,34200,50400
2,154509,-74.17145888165443,4.623247861416048,2700,3,54000,25200,59400
3,178415,-74.10658599956939,4.709197000419709,1800,3,50400,57600,48600
4,180064,-74.13765641208522,4.541177723960495,1800,2,37800,54000,55800
5,170879,-74.05688800004947,4.7526389996311655,2700,2,34200,32400,36000
6,87686,-74.16300607529236,4.699481648079648,1800,3,25200,30600,54000
7,98638,-74.07658524160506,4.689648700405692,2700,1,36000,39600,55800
8,219650,-74.19851099964869,4.628825999765883,900,1,52200,39600,57600
9,48496,-74.17948083893825,4.599348119757637,3600,2,59400,25200,48600
10,175820,-74.0607119997549,4.646010000389548,3600,1,34200,37800,32400
11,128743,-74.09738250256541,4.67570237372649,1800,2,25200,50400,55800
12,175198,-74.02556000011751,4.724671000254581,1800,2,25200,43200,50400
13,213939,-74.06701821437191,4.621973858363547,900,3,37800,39600,52200
14,215313,-74.10280590322684,4.592595616094596,2700,2,30600,36000,27000
15,32229,-74.13887000010145,4.5934769999280824,1800,2,55800,30600,32400
16,74042,-74.1182201392045,4.655764648442825,1800,2,45000,32400,32400
17,6416,-74.12028500042837,4.712675999684133,900,1,55800,52200,34200
18,68014,-74.16938476778314,4.580830453868739,1800,1,59400,36000,28800
19,102720,-74.0693719998423,4.6556490004008895,3600,1,43200,37800,50400
20,42033,-74.11321080260024,4.719172617103238,3600,3,43200,45000,57600
21,171294,-74.13881200037514,4.5467030003680655,900,1,57600,50400,45000
22,241791,-74.0555855129561,4.7251823965703466,1800,3,54000,37800,27000
23,141082,-74.13353199957912,4.708015999684227,3600,2,50400,59400,54000
24,66400,-74.19061600036565,4.602340999669557,900,1,57600,54000,27000
