,index,lon,lat,DUR,SERV,OPT1,OPT2,OPT3
0,220090,-74.1023910001432,4.615429000293108,3600,1,30600,55800,43200
1,202963,-74.16764100037445,4.621010000086146,1800,1,59400,25200,48600
2,180651,-74.20425800042494,4.621253999719436,2700,1,59400,48600,27000
3,9507,-74.12546200039391,4.709059999760251,2700,1,36000,55800,30600
4,223352,-74.11068899983236,4.741848999735961,1800,1,36000,45000,50400
5,93381,-74.09779072936988,4.677338812373803,2700,1,55800,48600,27000
6,118860,-74.12852899969087,4.564493999592392,3600,1,32400,25200,43200
7,133203,-74.07369100001536,4.597166000385063,2700,1,54000,45000,43200
8,201023,-74.06676682982281,4.7188733408394095,2700,1,55800,57600,25200
9,139767,-74.08208838212101,4.644649166444492,1800,1,34200,54000,37800
10,223790,-74.14330800010018,4.669964999992245,1800,1,46800,54000,50400
11,43041,-74.140464000386,4.674838999847724,900,1,41400,25200,32400
12,123457,-74.07218181596498,4.670293401814303,2700,1,39600,59400,46800
13,143817,-74.10605384927315,4.585845665875021,3600,1,46800,59400,48600
14,84816,-74.05022618642894,4.731304257222606,1800,1,41400,54000,54000
15,202372,-74.11214466944463,4.588970285226663,900,1,46800,27000,43200
16,178109,-74.07050900019235,4.637617999719709,3600,1,30600,27000,34200
17,91728,-74.12557199999877,4.596095000226124,3600,1,50400,25200,27000
18,85533,-74.14020300027009,4.556440000016983,1800,1,36000,52200,30600
19,85946,-74.07424089383505,4.69810469424367,2700,1,39600,41400,54000
20,238161,-74.06866100036291,4.718114999924799,3600,1,27000,48600,46800
21,55876,-74.19210000014702,4.612796999843213,1800,1,32400,50400,27000
22,92265,-74.16087122812135,4.637766536912872,900,1,34200,39600,41400
23,107292,-74.14218900019179,4.620921999742733,3600,1,52200,37800,30600
24,217516,-74.12176199963874,4.558865000141248,3600,1,48600,45000,34200
25,77239,-74.1468849999334,4.599168000122215,900,1,34200,39600,59400
26,113083,-74.2004899998977,4.6054070000123115,2700,1,36000,27000,57600
27,183014,-74.07809500596709,4.617481867301277,3600,1,25200,39600,37800
28,58680,-74.14965108516974,4.644661694395529,3600,1,55800,25200,50400
29,247129,-74.15740411290864,4.616494992905783,900,1,48600,27000,54000
30,147179,-74.11259654089717,4.581113702109393,900,1,43200,39600,50400
31,172315,-74.0669143295992,4.656368026225241,2700,1,36000,32400,55800
32,94130,-74.08953017236006,4.679134112139144,1800,1,30600,27000,57600
33,111209,-74.13603960627056,4.603792691371825,3600,1,54000,52200,57600
34,183268,-74.08072178675738,4.581498431913087,2700,1,54000,34200,34200
35,137558,-74.18358599964948,4.6323009996524585,2700,1,32400,36000,52200
36,188476,-74.03397009338444,4.740681704384153,3600,1,27000,32400,57600
37,75178,-74.09435431408198,4.562598954261682,3600,1,45000,50400,46800
38,99994,-74.06876889790999,4.566549141666824,900,1,50400,37800,32400
39,245920,-74.16371633276333,4.631270003559457,3600,1,36000,54000,43200
40,19444,-74.15139900010011,4.691225000064382,2700,1,54000,36000,39600
41,127439,-74.18485201065077,4.6081038950318245,3600,1,48600,27000,57600
42,182571,-74.12482709540562,4.743041554971086,2700,1,37800,54000,43200
43,20650,-74.02937999962494,4.710078000186275,1800,1,59400,54000,30600
44,210732,-74.11345200025403,4.709289999701847,900,1,57600,41400,43200
45,8731,-74.05596699960948,4.663427999623052,3600,1,28800,48600,28800
46,182040,-74.05978100016749,4.655957000287319,2700,1,41400,54000,43200
47,68560,-74.02981999984101,4.738405999672564,1800,1,25200,41400,27000
48,217043,-74.17765200017382,4.644610999707365,900,1,37800,52200,45000
49,49627,-74.15650800029358,4.5740769996592805,1800,1,28800,57600,34200
50,215777,-74.06786475076305,4.585264837930064,2700,1,39600,55800,36000
51,226840,-74.07571799994496,4.690428000123671,900,1,59400,45000,46800
52,109036,-74.07420700039941,4.621947000124426,900,1,34200,59400,55800
53,177339,-74.05631700031219,4.65376300033617,3600,1,27000,48600,59400
54,90286,-74.12090999969404,4.625916000375738,1800,1,25200,52200,57600
55,237748,-74.03752500005155,4.7445439999105234,3600,1,45000,43200,27000
56,209674,-74.19349400041506,4.605100999963608,900,1,39600,39600,55800
57,183626,-74.06460300030575,4.6461280003432,3600,1,46800,46800,52200
58,107512,-74.17056690937454,4.62736159462833,3600,1,48600,50400,43200
59,229679,-74.05571071115725,4.6689129076502205,3600,1,41400,52200,30600
60,146880,-74.1229750001568,4.591221000131974,3600,1,43200,43200,46800
61,74325,-74.17307016822,4.639669559602962,3600,1,27000,52200,57600
62,135162,-74.14983636988363,4.559344762281365,900,1,46800,30600,50400
63,246201,-74.07062984336099,4.597978770270082,1800,1,34200,46800,59400
64,52932,-74.10550299964599,4.597019000195194,2700,1,57600,45000,27000
65,18933,-74.05698199976081,4.716924999842367,1800,1,43200,28800,48600
66,217750,-74.09893700033365,4.735124000227954,900,1,28800,32400,50400
67,30667,-74.05479527757707,4.6639422038485625,2700,1,37800,27000,43200
68,164721,-74.09185469071849,4.6818357829506985,900,1,52200,48600,34200
69,107216,-74.05295260655389,4.732250698775559,900,1,34200,50400,43200
70,66562,-74.09606427339499,4.574834139817035,3600,1,28800,36000,54000
71,221525,-74.07315799991287,4.690183000247804,2700,1,57600,57600,39600
72,97043,-74.18386957532681,4.607677190133817,1800,1,30600,50400,52200
73,192363,-74.15620506771852,4.5944028863771935,2700,1,32400,30600,41400
74,161716,-74.1071990000378,4.549028999789583,1800,1,50400,52200,46800
75,244538,-74.19351199995837,4.624420999980132,3600,1,48600,39600,41400
76,180865,-74.18096899971601,4.59787099968638,1800,1,45000,50400,50400
77,167397,-74.09862299961597,4.585378000071794,900,1,36000,52200,59400
78,147161,-74.10289960110427,4.582088576434084,1800,1,34200,45000,30600
79,236603,-74.08743799965661,4.587286999612178,1800,1,48600,39600,52200
80,208397,-74.06845700014841,4.6028629999601165,1800,1,36000,57600,39600
81,937,-74.0685208173645,4.61609390958899,3600,1,41400,41400,52200
82,21407,-74.12090876001895,4.544361482633918,900,1,34200,34200,55800
83,153851,-74.08662303455613,4.62971336637595,1800,1,37800,39600,55800
84,152639,-74.09590982514987,4.64272524855441,900,1,46800,59400,57600
85,130433,-74.13844882677712,4.589066822127164,900,1,59400,46800,41400
86,177589,-74.16363775532879,4.622439422800807,1800,1,52200,55800,55800
87,24381,-74.10830328733846,4.551338747644709,3600,1,59400,37800,30600
88,222544,-74.07745645831031,4.610761572583997,900,1,41400,59400,28800
89,81987,-74.06328699985556,4.650215000128139,1800,1,52200,25200,25200
90,48583,-74.0652400001653,4.657224000375716,2700,1,45000,41400,27000
91,80600,-74.1521229999983,4.603813000322951,1800,1,37800,34200,39600
92,125616,-74.16557670239423,4.589503197229432,1800,1,52200,28800,48600
93,82283,-74.07046599963634,4.646416000192659,900,1,50400,45000,25200
94,210110,-74.12593440014732,4.616004038141824,2700,1,34200,36000,28800
95,86614,-74.13278377930425,4.708583923042167,1800,1,27000,28800,28800
96,89824,-74.03422393931744,4.708049719670947,900,1,57600,27000,54000
97,166857,-74.12788799963336,4.605044999794138,3600,1,28800,28800,34200
98,200893,-74.14128299982045,4.713151000162334,2700,1,36000,59400,41400
99,180546,-74.10217448729512,4.496827436731098,3600,1,36000,28800,37800
